LinesCount,LinesAvgLength,LineCommentCount,LineCodeCount,LineBlankCount,TypesCount,ClassCount,ObjectCount,TraitCount,MaxChildren,MethodCount,PrivateMethodCount,ProtectedMethodCount,MethodOverrideCount,FinalMethodCount,VarLocalCount,VarFieldCount,MagicNumbersCount,File
221,38,26,168,36,1,1,0,0,1,2,0,0,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveExternalCatalogSuite.scala
114,38,31,87,12,1,0,0,1,1,2,0,1,0,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/SparkSubmitTestUtils.scala
73,41,18,47,11,2,2,0,0,1,3,0,0,3,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveUserDefinedTypeSuite.scala
25,43,16,7,3,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/HiveOrcPartitionDiscoverySuite.scala
484,42,34,407,60,2,2,0,0,1,8,5,0,0,0,2,0,20,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/HiveOrcFilterSuite.scala
291,38,32,241,35,1,1,0,0,1,2,2,0,0,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/HiveOrcQuerySuite.scala
325,34,33,234,63,1,0,1,0,1,10,1,0,2,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/OrcReadBenchmark.scala
330,36,76,231,34,1,1,0,0,1,1,0,0,1,0,1,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/HiveOrcSourceSuite.scala
124,34,18,90,19,2,2,0,0,1,1,0,1,1,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/orc/OrcHadoopFsRelationSuite.scala
488,26,19,416,57,1,1,0,0,1,5,3,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveShowCreateTableSuite.scala
93,42,17,66,12,1,1,0,0,1,1,1,0,0,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveUtilsSuite.scala
212,32,31,160,33,2,2,0,0,1,2,0,0,2,0,0,2,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/UDFSuite.scala
103,35,16,76,12,1,1,0,0,1,3,0,0,3,0,0,2,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveContextCompatibilitySuite.scala
228,33,29,164,37,1,0,1,0,1,7,4,0,2,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/execution/benchmark/ObjectHashAggregateExecBenchmark.scala
72,37,23,42,9,1,1,0,0,1,6,0,0,6,0,0,1,0,sql/hive/src/test/scala/org/apache/spark/sql/sources/CommitFailureTestSource.scala
108,32,21,74,19,1,1,0,0,1,1,0,1,1,0,0,0,7,sql/hive/src/test/scala/org/apache/spark/sql/sources/JsonHadoopFsRelationSuite.scala
860,32,87,681,134,3,1,2,0,1,9,1,1,0,0,0,0,25,sql/hive/src/test/scala/org/apache/spark/sql/sources/HadoopFsRelationTest.scala
264,35,35,206,43,1,1,0,0,1,1,0,1,1,0,0,0,13,sql/hive/src/test/scala/org/apache/spark/sql/sources/ParquetHadoopFsRelationSuite.scala
82,42,22,55,12,1,1,0,0,1,0,0,0,0,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/sources/CommitFailureTestRelationSuite.scala
88,40,24,63,10,1,1,0,0,1,1,0,1,1,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/sources/SimpleTextHadoopFsRelationSuite.scala
30,42,16,11,4,1,1,0,0,1,2,0,1,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/sources/BucketedWriteWithHiveSupportSuite.scala
28,42,16,10,3,1,1,0,0,1,1,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/sources/BucketedReadWithHiveSupportSuite.scala
157,36,26,116,26,3,2,1,0,1,8,0,0,8,0,0,6,0,sql/hive/src/test/scala/org/apache/spark/sql/sources/SimpleTextRelation.scala
48,38,31,22,2,1,0,1,0,0,1,0,0,0,0,0,0,0,sql/hive/src/test/resources/regression-test-SPARK-8489/Main.scala
19,47,16,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/test/resources/regression-test-SPARK-8489/MyCoolClass.scala
802,39,177,622,71,2,2,0,0,2,7,0,0,7,0,0,0,0,sql/hive/compatibility/src/test/scala/org/apache/spark/sql/hive/execution/HiveWindowFunctionQuerySuite.scala
1147,24,135,1035,92,1,1,0,0,1,6,1,0,4,0,0,0,1,sql/hive/compatibility/src/test/scala/org/apache/spark/sql/hive/execution/HiveCompatibilitySuite.scala
53,39,20,24,12,1,1,0,0,1,7,0,0,5,0,0,0,0,sql/core/src/main/scala-2.13/org/apache/spark/sql/execution/streaming/StreamProgress.scala
884,44,564,322,56,1,1,0,0,1,34,2,0,0,0,0,2,0,sql/core/src/main/scala/org/apache/spark/sql/DataFrameReader.scala
3678,34,2112,1594,278,2,1,1,0,1,196,11,1,3,0,1,0,4,sql/core/src/main/scala/org/apache/spark/sql/Dataset.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/SparkSession.scala
163,36,65,94,20,3,2,0,1,1,10,1,1,2,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/util/QueryExecutionListener.scala
55,33,33,19,6,1,1,0,0,0,1,0,0,1,0,0,2,0,sql/core/src/main/scala/org/apache/spark/sql/ExperimentalMethods.scala
513,35,358,152,46,1,1,0,0,0,41,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/catalog/Catalog.scala
147,30,57,77,20,4,4,0,0,4,4,0,0,4,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/catalog/interface.scala
108,40,34,69,15,2,1,1,0,1,9,1,1,1,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/api/python/PythonSQLUtils.scala
23,39,19,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/api/package.scala
262,35,43,205,32,2,1,1,0,1,23,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/api/r/SQLUtils.scala
609,38,420,182,36,1,1,0,0,0,25,2,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/DataFrameStatFunctions.scala
718,40,50,624,74,4,1,3,0,1,11,7,0,1,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/catalyst/analysis/ResolveSessionCatalog.scala
175,27,62,100,22,3,3,0,0,2,16,0,0,7,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/UserDefinedFunction.scala
107,30,72,32,12,1,1,0,0,1,7,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/Aggregator.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/scalalang/typed.scala
238,35,187,51,15,2,1,1,0,0,10,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/Window.scala
171,30,114,55,15,2,2,0,0,1,11,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/udaf.scala
68,32,23,37,10,1,1,0,0,1,6,0,0,6,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/ReduceAggregator.scala
219,36,133,83,14,1,1,0,0,0,7,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/expressions/WindowSpec.scala
632,41,334,292,37,1,1,0,0,1,31,2,1,1,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/KeyValueGroupedDataset.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/functions.scala
1074,59,298,768,67,1,1,0,0,1,100,0,0,0,0,1,0,21,sql/core/src/main/scala/org/apache/spark/sql/UDFRegistration.scala
63,34,45,16,7,1,0,1,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/package.scala
