Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-33018,13329772,Fix compute statistics issue,yumwang,yumwang,Major,Resolved,Fixed,28/Sep/20 15:35,29/Sep/20 16:46,
Bug,SPARK-31882,13308628,DAG-viz is not rendered correctly with pagination.,sarutak,sarutak,Major,Resolved,Fixed,01/Jun/20 04:12,29/Sep/20 06:10,
Bug,SPARK-32999,13329489,TreeNode.nodeName should not throw malformed class name error,rednaxelafx,rednaxelafx,Major,Resolved,Fixed,25/Sep/20 21:09,29/Sep/20 00:16,
Bug,SPARK-31900,13309252,Client memory passed unvalidated to the JVM Xmx,,jira.shegalov,Minor,Resolved,Won't Fix,03/Jun/20 19:13,28/Sep/20 13:41,
Bug,SPARK-32886,13327609,"'.../jobs/undefined' link from ""Event Timeline"" in jobs page",zhli,zhli,Minor,Resolved,Fixed,15/Sep/20 07:55,25/Sep/20 13:35,
Bug,SPARK-32993,13329311,pyspark on yarn  executor hang after some time,,jasstionzyf,Minor,Resolved,Won't Fix,25/Sep/20 00:44,25/Sep/20 01:54,
Bug,SPARK-32983,13329118,Spark SQL INTERSECT ALL does not keep all rows.,,willddy,Major,Resolved,Not A Problem,24/Sep/20 03:04,24/Sep/20 12:21,
Bug,SPARK-32659,13323516,Fix the data issue of inserted DPP on non-atomic type,yumwang,yumwang,Major,Resolved,Fixed,19/Aug/20 08:41,22/Sep/20 16:01,
Bug,SPARK-32938,13328257,Spark can not cast long value from Kafka,,maseiler,Major,Resolved,Invalid,18/Sep/20 13:59,22/Sep/20 11:56,
Bug,SPARK-32635,13323001,"When pyspark.sql.functions.lit() function is used with dataframe cache, it returns wrong result",petertoth,vinodkc,Blocker,Resolved,Fixed,17/Aug/20 06:34,18/Sep/20 17:29,
Bug,SPARK-32814,13326379,Metaclasses are broken for a few classes in Python 3,zero323,zero323,Major,Resolved,Fixed,08/Sep/20 05:57,16/Sep/20 11:22,
Bug,SPARK-32804,13326152,run-example failed in standalone cluster mode,KevinSmile,KevinSmile,Minor,Resolved,Fixed,05/Sep/20 13:54,16/Sep/20 03:55,
Bug,SPARK-32578,13321730,PageRank not sending the correct values in Pergel sendMessage,,shay_elbaz,Major,Resolved,Invalid,10/Aug/20 06:20,15/Sep/20 08:16,
Bug,SPARK-32715,13324830,Broadcast block pieces may memory leak,cltlfcjin,cltlfcjin,Major,Resolved,Fixed,27/Aug/20 11:58,15/Sep/20 01:27,
Bug,SPARK-31716,13305108,Use a fallback version in HiveExternalCatalogVersionsSuite,dongjoon,dongjoon,Major,Resolved,Fixed,15/May/20 05:32,14/Sep/20 10:36,
Bug,SPARK-32765,13325511,EliminateJoinToEmptyRelation should respect exchange behavior when canChangeNumPartitions == false,,leanken,Major,Resolved,Not A Bug,01/Sep/20 11:55,14/Sep/20 05:56,
Bug,SPARK-32839,13326790,Make Spark scripts working with the spaces in paths on Windows,hyukjin.kwon,hyukjin.kwon,Major,Resolved,Fixed,10/Sep/20 06:44,14/Sep/20 04:16,
Bug,SPARK-32601,13322237,Issue in converting an RDD of Arrow RecordBatches in v3.0.0,,tahmad,Major,Resolved,Not A Problem,12/Aug/20 10:23,13/Sep/20 07:14,
Bug,SPARK-32779,13325818,Spark/Hive3 interaction potentially causes deadlock,sandeep.katta2007,bersprockets,Major,Resolved,Fixed,02/Sep/20 23:19,12/Sep/20 05:48,
Bug,SPARK-32794,13325993,Rare corner case error in micro-batch engine with some stateful queries + no-data-batches + V1 streaming sources ,tdas,tdas,Major,Resolved,Fixed,03/Sep/20 22:21,11/Sep/20 19:01,
Bug,SPARK-32411,13318930,GPU Cluster Fail,,vinhdiesal,Major,Resolved,Not A Problem,23/Jul/20 12:34,11/Sep/20 18:55,
Bug,SPARK-32840,13326795,Invalid interval value can happen to be just adhesive with the unit,Qin Yao,Qin Yao,Major,Resolved,Fixed,10/Sep/20 07:03,11/Sep/20 15:20,
Bug,SPARK-30179,13273259,Improve test in SingleSessionSuite,leoluan,yumwang,Major,Resolved,Fixed,09/Dec/19 06:55,11/Sep/20 03:21,
Bug,SPARK-32819,13326398,Spark SQL aggregate() fails on nested string arrays,viirya,laurikoobas,Major,Resolved,Fixed,08/Sep/20 08:07,10/Sep/20 07:07,
Bug,SPARK-32813,13326338,Reading parquet rdd in non columnar mode fails in multithreaded environment,viirya,vklyushnikov,Major,Resolved,Fixed,07/Sep/20 16:31,10/Sep/20 03:38,
Bug,SPARK-32589,13322032,NoSuchElementException: None.get for needsUnsafeRowConversion,,kimahriman,Minor,Resolved,Duplicate,11/Aug/20 14:12,10/Sep/20 03:38,
Bug,SPARK-32259,13315993,"tmpfs=true, not pointing to SPARK_LOCAL_DIRS in k8s",,prakki79,Major,Resolved,Not A Bug,09/Jul/20 21:44,10/Sep/20 01:53,
Bug,SPARK-32364,13318164,Use CaseInsensitiveMap for DataFrameReader/Writer options,dongjoon,girish_pandit,Major,Resolved,Fixed,20/Jul/20 05:57,09/Sep/20 21:02,
Bug,SPARK-32516,13320567,"path option is treated differently for 'format(""parquet"").load(path)' vs. 'parquet(path)'",imback82,imback82,Minor,Resolved,Fixed,02/Aug/20 20:59,09/Sep/20 18:43,
Bug,SPARK-32810,13326254,CSV/JSON data sources should avoid globbing paths when inferring schema,maxgekk,maxgekk,Major,Resolved,Fixed,07/Sep/20 07:15,09/Sep/20 07:03,
Bug,SPARK-32620,13322835,Reset the numPartitions metric when DPP is enabled,yumwang,yumwang,Major,Resolved,Fixed,15/Aug/20 00:20,09/Sep/20 02:07,
Bug,SPARK-32823,13326507,Standalone Master UI resources in use wrong,tgraves,tgraves,Major,Resolved,Fixed,08/Sep/20 14:53,09/Sep/20 01:34,
Bug,SPARK-32824,13326513,The error is confusing when resource .amount not provided ,tgraves,tgraves,Major,Resolved,Fixed,08/Sep/20 15:22,09/Sep/20 01:29,
Bug,SPARK-32638,13323034,WidenSetOperationTypes in subquery  attribute  missing,maropu,kkyong,Major,Resolved,Fixed,17/Aug/20 11:16,08/Sep/20 23:23,
Bug,SPARK-32753,13325277,Deduplicating and repartitioning the same column create duplicate rows with AQE,mauzhang,mauzhang,Major,Resolved,Fixed,31/Aug/20 06:51,08/Sep/20 14:43,
Bug,SPARK-32748,13325266,Support local property propagation in SubqueryBroadcastExec,zhenhuawang,zhenhuawang,Major,Resolved,Won't Fix,31/Aug/20 05:09,08/Sep/20 11:21,
